time_s,left_tip_dz_in,right_tip_dz_in,symmetric_tip_dz_in,total_fx_lbf,total_fy_lbf,total_fz_lbf,global_mx_cg_lbfin,global_my_cg_lbfin,global_mz_cg_lbfin
6.424000000,0.5829080139732952,0.6207211218934958,0.6018145679333955,8.18167943410842,0.08908534967493985,683.2674906953671,-564.8765674398439,1910.190296004538,10.152407811786002
6.428000000,0.5829085425845193,0.6207216675925196,0.6018151050885194,8.18167993652382,0.08908542046359766,683.2676162852057,-564.8765800459316,1910.1900730404825,10.1524143624763
6.432000000,0.5829090019423688,0.6207221430586998,0.6018155725005343,8.181679948767416,0.08908548746270736,683.2677272588568,-564.8766068931541,1910.1898481036335,10.152420375049637
6.436000000,0.5829093943176247,0.6207225504394387,0.6018159723785317,8.1816798791572,0.08908543822100395,683.2678339760818,-564.8766328520315,1910.1896086460247,10.152427768836288
6.440000000,0.5829097221458284,0.6207228920751646,0.6018163071104965,8.181679526236945,0.0890854474044945,683.2679334863775,-564.87666813673,1910.1893569934202,10.152433926829698
6.444000000,0.582909988052208,0.6207231705185166,0.6018165792853623,8.181678666283018,0.08908547969452488,683.2680156984663,-564.8767153719051,1910.1891137194857,10.152439137917252
6.448000000,0.5829101947628459,0.6207233884451,0.601816791603973,8.18167790069268,0.08908543180738165,683.2680980513348,-564.8767613204789,1910.188849412762,10.15244529577372
6.452000000,0.5829103451110456,0.62072354866757,0.6018169468893078,8.18167683863057,0.08908554278333115,683.2681714912061,-564.8768294316546,1910.1885779077347,10.15244855973533
6.456000000,0.5829104420729863,0.6207236541646921,0.6018170481188392,8.18167541835856,0.08908565917054033,683.2682313646271,-564.876911871809,1910.1883125346233,10.152450944074781
6.460000000,0.5829104886850871,0.6207237079874375,0.6018170983362623,8.181673898020037,0.08908569649534276,683.2682837381273,-564.8769980909999,1910.1880415667245,10.152453985076667
6.464000000,0.5829104879953206,0.6207237132205137,0.6018171006079172,8.181672388370515,0.08908571611516691,683.2683329519307,-564.8770886892856,1910.1877582861666,10.152456994673845
6.468000000,0.5829104431076928,0.6207236730231642,0.6018170580654285,8.18167077887398,0.08908569746629738,683.2683778441357,-564.8771804042287,1910.1874685083103,10.152460362351796
