$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$  GRID IDS
$
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ UPDATE 8-28-2010
$ ----------------
$ Corrected Coordinate system for the following nodes
$ LHS:  60000,60005,60010,60015,60020,60025,60030,60035
$ RHS:  60500,60505,60510,60515,60520,60525,60530,60535
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ADD NID 5000 --> Air Data Boom Mass Center
$ ADD NID's 5001, 5002 for Air Data Boom Attachments
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ---Changes to match 046F0110 Drawing---
$ Removed nodes upon removal of selected elements to create access
$ openings.
$
$ RELEASE 04 UPDATE 11-3-2010
$ ---------------------------
$ Changes made to incorporate the moving of the control surface actuators
$ to the lower surface.
$
$ Updated coordinates of MLG
$-----------------------------------------------------------------------
$ 
$ FLUTTER UPDATES
$ ---------------
$ Commented out Stress Air Boom GRIDS
$ Added Change Key for coordinates changed above
$
$ RELEASE 07 UPDATE 4-4-2011
$ ---------------------------
$ Moved winglet grids into separate dataset MAD_L108_GRIDS_WINGLET_R007_001
$ Rest of grids are now in MAD_L108_GRIDS_R007_001
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
GRID    52777   0       186.671 95.796  103.743 0
GRID    52778   0       187.566 98.011  103.743 0
GRID    52779   0       188.461 100.226 103.743 0
GRID    52780   0       189.356 102.442 103.742 0
GRID    52781   0       189.637 103.137 103.742 0
GRID    52782   0       189.917 103.833 103.742 0
GRID    52783   0       190.498 105.270 103.742 0
GRID    52784   0       191.078 106.707 103.742 0
GRID    52800   0       177.952 81.892  104.522 0
GRID    52801   0       178.533 83.329  104.522 0
GRID    52802   0       179.114 84.766  104.522 0
GRID    52803   0       179.675 86.157  104.522 0
GRID    52804   0       180.424 88.012  104.522 0
GRID    52805   0       181.319 90.227  104.522 0
GRID    52806   0       182.214 92.442  104.522 0
GRID    52807   0       183.109 94.658  104.522 0
GRID    52808   0       184.004 96.873  104.522 0
GRID    52809   0       184.899 99.089  104.522 0
GRID    52810   0       185.794 101.304 104.522 0
GRID    52811   0       186.688 103.519 104.522 0
GRID    52812   0       187.250 104.910 104.522 0
GRID    52813   0       187.831 106.347 104.522 0
GRID    52814   0       188.411 107.785 104.522 0
GRID    52815   0       177.924 81.903  103.859 0
GRID    52816   0       178.505 83.341  103.859 0
GRID    52817   0       179.085 84.778  103.859 0
GRID    52818   0       179.647 86.169  103.859 0
GRID    52819   0       180.396 88.023  103.859 0
GRID    52820   0       181.291 90.238  103.859 0
GRID    52821   0       182.186 92.454  103.859 0
GRID    52822   0       183.081 94.669  103.860 0
GRID    52823   0       183.976 96.884  103.860 0
GRID    52824   0       184.871 99.100  103.860 0
GRID    52825   0       185.766 101.315 103.860 0
GRID    52826   0       186.661 103.531 103.860 0
GRID    52827   0       187.223 104.921 103.860 0
GRID    52828   0       187.803 106.359 103.860 0
GRID    52829   0       188.384 107.796 103.861 0
GRID    52901   0       179.869 85.270  104.264 20
GRID    52903   0       187.445 104.022 104.264 20 
$-----------------------------------------------------------------------
GRID    60514   0       180.898 87.820  101.274 35

