$
$ Panel Additions to the Upper Fuselage Skin
$
$-----------------------------------------------------------------------
$
$ GRIDS
$
$.......2.......3.......4.......5.......6.......7.......8.......9.......
GRID    962400  0       165.17  1.985   106.348
GRID    962401  0       169.023 1.956   105.576
GRID    962402  0       172.882 1.927   104.731
GRID    962403  0       165.17  5.000   106.22
GRID    962404  0       172.261 5.000   104.715
GRID    962405  0       165.17  8.017   106.025
GRID    962406  0       168.408 8.045   105.368
GRID    962407  0       171.64  8.073   104.65
GRID    962408  0       168.716 5.000   105.472
$               
GRID    962500  0       185.608 1.832   101.613
GRID    962501  0       188.59  1.810   100.818
GRID    962502  0       184.327 5.000   101.678
GRID    962503  0       187.300 5.000   100.867
GRID    962504  0       183.045 8.171   101.768
GRID    962505  0       186.008 8.197   100.959
$----------------------------------------------------------------------
$----------------------------------------------------------------------
