$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$  FUSELAGE GRID IDS
$  Extracted from /home/FLUT/MAD/V08/BULK/MAD_L108_GRIDS_R10_003.dat on
$    10/17/12
$
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ UPDATE 8-28-2010
$ ----------------
$ Corrected Coordinate system for the following nodes
$ LHS:  60000,60005,60010,60015,60020,60025,60030,60035
$ RHS:  60500,60505,60510,60515,60520,60525,60530,60535
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ADD NID 5000 --> Air Data Boom Mass Center
$ ADD NID's 5001, 5002 for Air Data Boom Attachments
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ---Changes to match 046F0110 Drawing---
$ Removed nodes upon removal of selected elements to create access
$ openings.
$
$ RELEASE 04 UPDATE 11-3-2010
$ ---------------------------
$ Changes made to incorporate the moving of the control surface actuators
$ to the lower surface.
$
$ Updated coordinates of MLG
$-----------------------------------------------------------------------
$ 
$ FLUTTER UPDATES
$ ---------------
$ Commented out Stress Air Boom GRIDS
$
GRID    10200   0       138.809 -10.000 94.486  0
GRID    10201   0       138.809 -10.000 97.832  0
GRID    10202   0       138.809 -10.000 101.177 0
GRID    10203   0       138.809 -10.000 104.523 0
GRID    10204   0       138.809 -10.000 107.868 0
GRID    10205   0       140.809 -10.000 94.318  0
GRID    10206   0       140.809 -10.000 97.844  0
GRID    10207   0       140.809 -10.000 101.141 0
GRID    10208   0       140.809 -10.000 104.437 0
GRID    10209   0       140.809 -10.000 107.940 0
GRID    10210   0       144.881 -10.000 94.111  0
GRID    10211   0       144.881 -10.000 97.868  0
GRID    10212   0       144.881 -10.000 101.066 0
GRID    10213   0       144.881 -10.000 104.264 0
GRID    10214   0       144.881 -10.000 107.965 0
GRID    10215   0       148.954 -10.000 94.135  0
GRID    10216   0       148.954 -10.000 97.893  0
GRID    10217   0       148.954 -10.000 100.991 0
GRID    10218   0       148.954 -10.000 104.090 0
GRID    10219   0       148.954 -10.000 107.837 0
GRID    10220   0       153.026 -10.000 94.344  0
GRID    10221   0       153.026 -10.000 97.918  0
GRID    10222   0       153.026 -10.000 100.917 0
GRID    10223   0       153.026 -10.000 103.916 0
GRID    10224   0       153.026 -10.000 107.562 0
GRID    10225   0       157.098 -10.000 94.658  0
GRID    10226   0       157.098 -10.000 97.942  0
GRID    10227   0       157.098 -10.000 100.842 0
GRID    10228   0       157.098 -10.000 103.742 0
GRID    10229   0       157.098 -10.000 107.139 0
GRID    10230   0       161.171 -10.000 95.029  0
GRID    10231   0       161.171 -10.000 97.967  0
GRID    10232   0       161.171 -10.000 100.768 0
GRID    10233   0       161.171 -10.000 103.569 0
GRID    10234   0       161.171 -10.000 106.568 0
GRID    10235   0       163.170 -10.000 95.227  0
GRID    10236   0       163.170 -10.000 97.979  0
GRID    10237   0       163.170 -10.000 100.731 0
GRID    10238   0       163.170 -10.000 103.483 0
GRID    10239   0       163.170 -10.000 106.235 0
GRID    10240   0       165.169 -10.000 95.437  0
GRID    10241   0       165.169 -10.000 98.085  0
GRID    10242   0       165.169 -10.000 100.652 0
GRID    10243   0       165.169 -10.000 103.220 0
GRID    10244   0       165.169 -10.000 105.871 0
GRID    10245   0       168.210 -10.000 95.785  0
GRID    10246   0       168.210 -10.000 98.245  0
GRID    10247   0       168.210 -10.000 100.532 0
GRID    10248   0       168.210 -10.000 102.819 0
GRID    10249   0       168.210 -10.000 105.262 0
GRID    10250   0       171.251 -10.000 96.177  0
GRID    10251   0       171.251 -10.000 98.405  0
GRID    10252   0       171.251 -10.000 100.412 0
GRID    10253   0       171.251 -10.000 102.419 0
GRID    10254   0       171.251 -10.000 104.595 60
GRID    10255   0       174.292 -10.000 96.629  0
GRID    10256   0       174.292 -10.000 98.565  0
GRID    10257   0       174.292 -10.000 100.291 0
GRID    10258   0       174.292 -10.000 102.018 0
GRID    10259   0       174.292 -10.000 103.881 60
GRID    10260   0       177.333 -10.000 97.163  0
GRID    10261   0       177.333 -10.000 98.725  0
GRID    10262   0       177.333 -10.000 100.171 0
GRID    10263   0       177.333 -10.000 101.617 0
GRID    10264   0       177.333 -10.000 103.127 60
GRID    10265   0       179.332 -10.000 97.569  0
GRID    10266   0       179.332 -10.000 98.831  0
GRID    10267   0       179.332 -10.000 100.092 0
GRID    10268   0       179.332 -10.000 101.354 0
GRID    10269   0       179.332 -10.000 102.615 60
$
GRID    10400   0       138.809 10.000  94.486  0
GRID    10401   0       138.809 10.000  97.832  0
GRID    10402   0       138.809 10.000  101.177 0
GRID    10403   0       138.809 10.000  104.523 0
GRID    10404   0       138.809 10.000  107.868 0
GRID    10405   0       140.809 10.000  94.318  0
GRID    10406   0       140.809 10.000  97.844  0
GRID    10407   0       140.809 10.000  101.141 0
GRID    10408   0       140.809 10.000  104.437 0
GRID    10409   0       140.809 10.000  107.940 0
GRID    10410   0       144.881 10.000  94.111  0
GRID    10411   0       144.881 10.000  97.868  0
GRID    10412   0       144.881 10.000  101.066 0
GRID    10413   0       144.881 10.000  104.264 0
GRID    10414   0       144.881 10.000  107.965 0
