time_s,pitch_rad,alpha_rad,pitch_rate_radps,vz_inps,symmetric_tip_body_in,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31,BFL_rad,WF1L_rad,WF2L_rad,WF3L_rad,WF4L_rad,BFR_rad,WF1R_rad,WF2R_rad,WF3R_rad,WF4R_rad
0.020000000000000004,0.01280436698868237,0.013183531678702816,0.11666371942926351,-0.990306564614894,-0.0002826254149690399,-0.45362810618852856,-0.0003500216535580115,-0.02599977154163155,0.03373024871810671,0.008150449342231515,0.00011644285845899677,0.0011616515100097823,6.731476379066521e-05,0.008021949418708225,1.1889103416820183e-06,-0.0024177400593114284,0.001439472103330274,0.006095040632868607,-0.0011525489367352052,0.00013577928819159447,0.00013007886036291456,0.0006363394664632383,0.002319218486939331,-0.0032761328298505903,0.00015327605785214412,0.001116850619268998,-0.00020570199877406367,-0.006843204167190411,0.00013271428998610607,0.0018030788924683662,0.0006822298560711491,-0.0060965721602596395,-0.00609657216025965,-0.006086563395722489,-0.0063433603186836725,0.0006822298560711456,-0.006076554631185338,-0.006076554631185343,-0.006086563395722489,-0.006343360318685338
0.022000000000000006,0.013050295659161826,0.013493230208712532,0.12927750274323213,-1.1568614149052747,-0.0011825175269182253,-0.4513820354831121,-0.00024309829638150402,-0.026151408129157012,0.032177421372939684,0.010983633727422268,0.00011479351104753926,0.0009545396310916294,9.552134950429608e-05,0.009458114968159386,1.3522338623356992e-06,-0.0026953908356834137,0.001564559309097207,0.00658144658393073,-0.0012417461947635785,0.00014148615149582142,0.00014693500825012297,0.0006908026297437511,0.002392046945201941,-0.003033253208117025,0.00014178703861330373,0.001072591349005174,-0.00018985919986310094,-0.007041088273942032,0.00013351888026564925,0.001708261575248174,0.0006822298560711422,-0.006096572160259637,-0.006096572160259647,-0.006086563395722492,-0.00629693086698519,0.0006822298560711595,-0.006076554631185342,-0.0060765546311853345,-0.006086563395722491,-0.006296930866969021
0.024000000000000007,0.01332143703403399,0.013821580172899174,0.1418722202539295,-1.30627947238242,-0.0031025618663180765,-0.4490601367764185,-0.00012782968764833515,-0.02631052783806581,0.030883159086226384,0.01385608458234527,0.0001151982688514185,0.0006842095383243742,0.00012621823027065475,0.01080339442978548,1.4082231265660058e-06,-0.0029245202788266518,0.001656510521700944,0.006907809143730169,-0.0012969709822025603,0.00014263292453886114,0.0001792441799044234,0.0007197445114500224,0.002369816365009142,-0.002667381683758677,0.00012487221170117584,0.0009823523711277697,-0.0001663400282574843,-0.006844923679072942,0.00011623029529251801,0.001478936460780502,0.0006822298560711526,-0.006096572160259643,-0.006096572160259647,-0.0060865633957224935,-0.006258943131981985,0.0006822298560711456,-0.006076554631185348,-0.006076554631185345,-0.0060865633957224875,-0.00625894313198289
0.02600000000000001,0.013617743008961458,0.014168789099686531,0.15444218851536712,-1.4392283999343232,-0.006096487866343203,-0.4466825965487097,-4.533668612888464e-06,-0.02648178577059675,0.029902414863009073,0.016707994998239377,0.00011772972680652857,0.0003577533816307077,0.0001585011636899765,0.012006180321752304,1.3429136519859645e-06,-0.003094863017979146,0.0017115946455499586,0.0070593327430158,-0.0013153616378640228,0.00013925616359415863,0.00022634566065179922,0.0007211749798074701,0.0022572643613253647,-0.002218753250327837,0.0001046363450580983,0.000857228165331426,-0.00013836048055773087,-0.00630199731114262,8.413896091074282e-05,0.0011637646983637844,0.0006822298560711526,-0.00609657216025964,-0.00609657216025964,-0.0060865633957224875,-0.006227862258669988,0.0006822298560711387,-0.006076554631185336,-0.0060765546311853345,-0.006086563395722486,-0.006227862258670212
0.02800000000000001,0.013939145533325092,0.014534928585414013,0.16697219840481925,-1.556072927218326,-0.010140147768490593,-0.44426975708657224,0.00012636370116089535,-0.026669429950792866,0.029282533102616665,0.019479880062629885,0.00012243319189209837,-1.6230984107470992e-05,0.00019140117975912705,0.013021205853331328,1.1503031001360373e-06,-0.003199080347347018,0.0017280122316113494,0.007031261038235889,-0.0012964270919206377,0.00013172298740263518,0.0002857483593620284,0.0006955177317632203,0.0020674136731960416,-0.0017354211553256436,8.349987589929669e-05,0.0007119261835773748,-0.000109630524783221,-0.0055060938257496545,4.334750586713937e-05,0.0008268694767038792,0.0006822298560711456,-0.006096572160259636,-0.006096572160259637,-0.006086563395722491,-0.0062024324532437445,0.0006822298560711491,-0.006076554631185339,-0.006076554631185337,-0.006086563395722494,-0.006202432453243216
0.030000000000000013,0.014285540180893674,0.01491991961902594,0.17943985515516608,-1.6568794318985258,-0.015143547786132139,-0.4418425571287138,0.0002643332159844559,-0.026877333078709133,0.02906312903874473,0.02211411496255305,0.00012931412883278765,-0.0004279079296441217,0.00022391032272916928,0.013810968137307221,8.329753829851637e-07,-0.0032331561851026195,0.0017059697039835378,0.006829154075616011,-0.0012421001808391257,0.00012070548192769857,0.0003534324627898296,0.0006455823933189008,0.0018203451151112729,-0.001268466020763796,6.393422677046601e-05,0.0005631907213482487,-8.390210738114953e-05,-0.0045838521170013,1.6093197134534206e-06,0.0005355841951899691,0.0006822298560711491,-0.006096572160259637,-0.006096572160259642,-0.006086563395722487,-0.006181626248805928,0.0006822298560711352,-0.006076554631185336,-0.006076554631185335,-0.006086563395722484,-0.006181626248805936
0.032000000000000015,0.014657113464647598,0.015315928664171828,0.19209446653952306,-1.7207010495459396,-0.02086525968187747,-0.4394581919421991,0.00040882374259958924,-0.02711271982632718,0.029271303790622823,0.0245560735243149,0.00013821669972423041,-0.0008631003475254902,0.0002548235377772412,0.014350223926148703,3.937741011360931e-07,-0.0031969533260804987,0.0016482422214816714,0.006471819106344619,-0.0011573729062168735,0.00010722064401595385,0.00042370002984067854,0.0005760416128407705,0.0015430921214229605,-0.0008689901719154895,4.8536745431950755e-05,0.0004289086157747926,-6.470037282736933e-05,-0.0036776634349931264,-3.323681403376306e-05,0.00034763630385457764,0.002592884320413945,-0.0061114168697509255,-0.006111416869750807,-0.006094506029365476,-0.0061646029906294985,0.002592884320426453,-0.006077595188980508,-0.006077595188980493,-0.006094506029365494,-0.006164602990629421
0.034000000000000016,0.01505410498998283,0.01572578927507804,0.20486466295574216,-1.7543126839643346,-0.02704723848057977,-0.4371716441242793,0.0005592357711440645,-0.027383252122985872,0.029926470084410198,0.026756194338274423,0.00014893689349235192,-0.001306817872451483,0.0002829730006953993,0.014623126353257207,-1.5940369039626234e-07,-0.0030942326518603363,0.0015596135191859027,0.005987720463249625,-0.0010494106309464472,9.249024870136982e-05,0.0004908395112356456,0.0004934305192011263,0.0012657225971328047,-0.0005815285488260704,3.9431031338962874e-05,0.0003254992660002161,-5.4747129279859315e-05,-0.0029259494587530795,-5.460259613892479e-05,0.00030069924518776015,0.0044353659658696795,-0.006126485516732762,-0.006126485516734795,-0.006103177060142456,-0.0061506748703030936,0.00443536596585741,-0.00607986860354944,-0.006079868603549524,-0.006103177060142208,-0.006150674870303046
0.03600000000000002,0.015476670805441461,0.016151252183702742,0.21768520440100078,-1.7618793472408172,-0.03348570124086425,-0.4350190532226554,0.0007149430113079187,-0.027695589181235068,0.031042740639749357,0.028671453667127113,0.00016126456497886045,-0.0017450440874312786,0.00030735682847008984,0.01462230598803774,-8.118095511546228e-07,-0.0029323610164653977,0.0014463909096025505,0.00541207265701222,-0.0009268122359517687,7.781711156190295e-05,0.0005500494214059719,0.0004056913251644255,0.001017850662703876,-0.0004388563395886775,3.7909066687867765e-05,0.00026581594030202854,-5.5569541064575674e-05,-0.002443718806265643,-5.838971236072663e-05,0.0004053851476933342,0.0062401518497863795,-0.006141831060905286,-0.006141831060906541,-0.006112507330976714,-0.006139279135490692,0.006240151849783049,-0.006083183601045991,-0.006083183601046142,-0.0061125073309764785,-0.006139279135490681
0.03800000000000002,0.015924889101607942,0.016592447249129796,0.2305265494459621,-1.743535987488542,-0.04003074404602547,-0.43302436521804183,0.0008753441685707188,-0.0280556089016003,0.03262859802215776,0.030266294882809696,0.0001749651832672164,-0.002164732983550441,0.00032715967442604874,0.014349782395888619,-1.5437808521433236e-06,-0.002721846522429657,0.0013160810536005823,0.004784968811526527,-0.0007990969411565497,6.449195943481831e-05,0.0005976995300135241,0.00032136531244386315,0.0008259873770966801,-0.00045884704275446584,4.434870368195611e-05,0.0002578254716550109,-6.734061394274619e-05,-0.0023065200327525123,-4.384640922072141e-05,0.0006432119767636666,0.00803217442444275,-0.006157483152977679,-0.006157483152976485,-0.006122397003728923,-0.0061299553524624085,0.008032174424448498,-0.006087310854482466,-0.006087310854482491,-0.006122397003729262,-0.006129955352462415
0.04000000000000002,0.016398794358036595,0.017049014161313086,0.24337625425283022,-1.6982514891666292,-0.04657706431091757,-0.43120677990801454,0.0010399051443414009,-0.02846877927635762,0.034686240954347976,0.03151335441807084,0.00018976406337135177,-0.0025536654057227255,0.00034176129557781347,0.01381762964475771,-2.333311837558414e-06,-0.002475754940118003,0.0011770433457738469,0.004149373124068765,-0.0006761530576642077,5.3704589430937686e-05,0.0006315200824657018,0.0002487386348936851,0.000711259542950059,-0.0006429325275889226,5.8239487820449247e-05,0.0003038536398130468,-8.889015467491068e-05,-0.0025402783686797,-1.3769951577422997e-05,0.0009702368933661764,0.009831736468453025,-0.006173454272139667,-0.006173454272139408,-0.006132726917274709,-0.006122326802711986,0.009831736468454921,-0.0060919995624097445,-0.006091999562409706,-0.006132726917274562,-0.006122326802712009
